,id,shortDisplayName,nickname,location,abbreviation,displayName,isActive,isAllStar,logos,OTLosses,OTWins,avgPointsAgainst,avgPointsFor,divisionWinPercent,gamesPlayed,losses,ties,wins,winPercent,points
0,1,Falcons,Falcons,Atlanta,ATL,Atlanta Falcons,True,False,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,0.0,1.0,22.705883,21.470589,0.33333334,17.0,10.0,2.0,0.4117647,0.0,-21.0
1,2,Bills,Bills,Buffalo,BUF,Buffalo Bills,True,False,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,1.0,0.0,17.875,28.4375,0.6666667,16.0,3.0,7.0,0.8125,0.0,169.0
2,3,Bears,Bears,Chicago,CHI,Chicago Bears,True,False,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,0.0,0.0,27.235294,19.17647,0.0,17.0,14.0,-10.0,0.1764706,0.0,-137.0
3,4,Bengals,Bengals,Cincinnati,CIN,Cincinnati Bengals,True,False,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,1.0,0.0,20.125,26.125,0.5,16.0,4.0,8.0,0.75,0.0,96.0
4,5,Browns,Browns,Cleveland,CLE,Cleveland Browns,True,False,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,0.0,1.0,22.411764,21.235294,0.5,17.0,10.0,-1.0,0.4117647,0.0,-20.0
5,6,Cowboys,Cowboys,Dallas,DAL,Dallas Cowboys,True,False,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,2.0,0.0,20.117647,27.470589,0.6666667,17.0,5.0,-1.0,0.7058824,0.0,125.0
6,7,Broncos,Broncos,Denver,DEN,Denver Broncos,True,False,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,3.0,0.0,21.117647,16.882353,0.16666667,17.0,12.0,1.0,0.29411766,0.0,-72.0
7,8,Lions,Lions,Detroit,DET,Detroit Lions,True,False,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,0.0,0.0,25.117647,26.647058,0.8333333,17.0,8.0,2.0,0.5294118,0.0,26.0
8,9,Packers,Packers,Green Bay,GB,Green Bay Packers,True,False,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,0.0,2.0,21.82353,21.764706,0.5,17.0,9.0,-1.0,0.47058824,0.0,-1.0
9,10,Titans,Titans,Tennessee,TEN,Tennessee Titans,True,False,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,1.0,0.0,21.117647,17.529411,0.5,17.0,10.0,-7.0,0.4117647,0.0,-61.0
