Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr_plyf,W_plyf,L_plyf,W-L_%,Chmp,SBwl,Conf,Div
Arizona Cardinals,1920,2023,581,790,41,0.424,Fitzgerald,Hart,Anderson,Fitzgerald,Arians,11,7,10,0.412,2,0,1,8
Atlanta Falcons,1966,2023,383,493,6,0.437,Ryan,Ryan,Riggs,Jones,Smith,14,10,14,0.417,0,0,2,7
Baltimore Ravens,1996,2023,243,190,1,0.561,Lewis,Flacco,Lewis,Mason,Harbaugh,14,16,12,0.571,2,2,2,6
Buffalo Bills,1960,2023,462,495,8,0.483,Smith,Kelly,Thomas,Reed,Levy,22,18,20,0.474,2,0,4,14
Carolina Panthers,1995,2023,212,237,1,0.472,Newton,Newton,Stewart,Smith,Rivera,8,9,8,0.529,0,0,2,6
Chicago Bears,1920,2023,786,624,42,0.557,Payton,Cutler,Payton,Morris,Halas,27,17,20,0.459,9,1,2,24
Cincinnati Bengals,1968,2023,385,463,5,0.454,Munoz,Anderson,Dillon,Johnson,Lewis,16,10,16,0.385,0,0,3,12
Cleveland Browns,1946,2023,548,528,14,0.509,Matthews,Sipe,Brown,Newsome,Brown,29,17,21,0.447,8,0,0,23
Dallas Cowboys,1960,2023,550,408,6,0.574,Smith,Romo,Smith,Witten,Landry,35,36,30,0.545,5,5,8,25
Denver Broncos,1960,2023,500,456,10,0.523,Elway,Elway,Davis,Smith,Shanahan,22,23,19,0.548,3,3,8,15
Detroit Lions,1930,2023,579,702,34,0.452,Sanders,Stafford,Sanders,Johnson,Fontes,17,7,13,0.35,4,0,0,8
Green Bay Packers,1921,2023,790,590,38,0.572,Rodgers,Favre,Green,Driver,Lambeau,35,36,25,0.59,13,4,5,31
Houston Texans,2002,2023,142,195,1,0.422,Watt,Schaub,Foster,Johnson,Kubiak,6,4,6,0.4,0,0,0,6
Indianapolis Colts,1953,2023,547,493,8,0.526,Manning,Manning,James,Harrison,Dungy,29,23,25,0.479,4,2,4,21
Jacksonville Jaguars,1995,2023,189,261,0,0.42,Smith,Brunell,Taylor,Smith,Coughlin,8,8,8,0.5,0,0,0,4
Kansas City Chiefs,1960,2023,521,433,12,0.546,Shields,Dawson,Charles,Gonzalez,Stram,25,20,21,0.488,4,3,5,16
Las Vegas Raiders,1960,2023,497,458,11,0.52,Otto,Carr,Allen,Brown,Madden,23,25,20,0.556,3,3,5,16
Los Angeles Chargers,1960,2023,478,477,11,0.501,Rivers,Rivers,Tomlinson,Gates,Gillman,20,12,19,0.387,1,0,1,15
Los Angeles Rams,1937,2023,604,592,21,0.505,Olsen,Everett,Jackson,Bruce,Robinson,31,26,27,0.491,4,2,5,21
Miami Dolphins,1966,2023,485,393,4,0.552,Marino,Marino,Csonka,Duper,Shula,24,20,22,0.476,2,2,5,14
Minnesota Vikings,1961,2023,516,425,11,0.548,Eller,Tarkenton,Peterson,Carter,Grant,31,21,31,0.404,0,0,4,21
New England Patriots,1960,2023,537,420,9,0.561,Brady,Brady,Cunningham,Morgan,Belichick,28,37,22,0.627,6,6,11,22
New Orleans Saints,1967,2023,403,460,5,0.467,Brees,Brees,Ingram,Colston,Payton,14,10,13,0.435,1,1,1,9
New York Giants,1925,2023,715,638,34,0.528,Taylor,Manning,Barber,Toomer,Owen,33,25,26,0.49,8,4,5,25
New York Jets,1960,2023,421,537,8,0.44,Maynard,Namath,Martin,Maynard,Ewbank,14,12,13,0.48,1,1,1,4
Philadelphia Eagles,1933,2023,613,630,27,0.493,White,McNabb,McCoy,Carmichael,Reid,29,25,25,0.5,4,1,4,16
Pittsburgh Steelers,1933,2023,661,571,22,0.536,Roethlisberger,Roethlisberger,Harris,Ward,Noll,33,36,27,0.571,6,6,8,25
San Francisco 49ers,1946,2023,612,510,16,0.545,Rice,Montana,Gore,Rice,Seifert,29,37,24,0.607,5,5,7,22
Seattle Seahawks,1976,2023,383,358,1,0.517,Wilson,Wilson,Alexander,Largent,Carroll,20,17,19,0.472,1,1,3,11
Tampa Bay Buccaneers,1976,2023,299,442,1,0.404,Brooks,Winston,Wilder,Evans,Gruden,13,11,11,0.5,2,2,2,8
Tennessee Titans,1960,2023,470,490,6,0.49,Matthews,Moon,George,Givins,Fisher,25,17,23,0.425,2,0,1,11
Washington Commanders,1932,2023,625,630,29,0.498,Green,Theismann,Riggins,Monk,Gibbs,25,23,20,0.535,5,3,5,16
